PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI_Bucket
6,18,13,15,18,14,1,11,17,0,1,1,4
2,3,7,0,8,16,0,12,34,8,8,1,5
20,24,1,56,12,11,2,47,58,3,33,39,3
18,24,5,4,17,5,0,44,10,1,1,1,3
9,41,178,20,94,14,2,38,11,0,1,1,3
6,12,4,14,12,8,1,7,25,0,0,1,4
11,24,5,9,9,19,3,19,11,1,1,1,3
9,15,1,11,6,12,0,25,44,0,0,0,4
2,6,5,6,17,4,2,4,4,1,1,1,3
26,24,58,61,38,11,131,112,51,2,18,10,0
93,24,5,7,17,11,20,7,23,0,8,1,0
17,24,8,12,7,24,1,7,27,5,2,1,3
18,24,11,20,17,11,3,19,34,1,1,1,3
34,60,32,54,55,19,2,28,114,1,4,1,2
27,113,19,20,14,5,4,39,9,0,1,1,1
27,72,23,24,11,16,0,29,34,1,4,1,2
18,24,11,20,17,11,3,19,34,1,1,1,3
18,24,11,20,17,11,3,19,34,1,1,1,3
8,16,6,24,20,29,1,15,33,1,12,1,4
28,24,3,10,10,11,7,97,10,0,0,4,2
8,22,6,20,12,16,0,11,13,0,3,6,4
11,29,24,19,36,11,2,18,43,0,1,1,3
10,24,5,14,9,8,1,5,46,4,7,1,4
22,24,4,32,15,24,0,8,34,0,0,1,2
11,24,0,7,17,3,0,12,1,1,1,1,4
18,24,11,20,48,11,0,19,34,0,0,0,3
49,86,32,34,53,5,2,76,24,0,0,1,1
33,24,2,8,5,125,1,3,21,1,2,1,2
49,68,29,53,47,34,2,23,47,2,8,0,1
16,25,4,14,14,7,5,20,16,0,1,1,3
13,29,9,39,21,25,1,18,35,1,9,5,3
9,27,1,14,7,9,0,4,42,1,3,2,3
42,24,7,22,13,36,1,10,20,0,10,1,1
8,9,0,41,31,11,0,11,31,0,0,1,4
31,49,21,29,25,3,1,35,22,0,3,1,3
25,24,13,59,30,11,29,13,21,2,18,10,0
12,28,4,22,17,14,1,16,51,0,3,1,3
8,30,4,23,12,21,0,14,31,1,10,5,3
13,24,13,18,11,11,1,65,48,0,9,8,4
14,24,4,10,11,1,1,9,12,0,0,1,4
53,64,34,13,26,11,2,15,19,1,1,1,1
49,80,36,39,42,11,1,16,37,2,6,1,1
35,24,2,12,11,11,5,75,39,3,6,1,1
16,21,4,11,12,39,1,23,34,0,0,1,3
37,24,6,14,6,11,2,46,98,1,15,15,1
10,14,4,22,11,8,0,4,20,0,8,1,4
6,14,1,6,7,7,0,25,62,0,1,1,4
23,24,2,17,17,11,1,9,43,0,0,1,3
16,35,7,39,20,16,1,22,38,2,18,9,3
5,8,1,6,3,10,0,19,42,0,0,0,4
183,180,101,90,53,69,4,29,38,5,15,1,0
37,24,47,64,37,11,2,48,76,3,11,32,1
4,7,1,5,3,1,0,7,30,1,3,0,4
22,24,13,26,19,28,2,8,27,2,10,1,3
56,24,13,81,23,11,1,27,101,0,2,2,1
6,10,11,34,20,2,1,7,17,0,0,1,4
80,24,16,41,22,36,2,12,24,2,3,1,0
6,23,2,27,13,13,0,8,30,0,1,1,3
17,24,17,41,17,11,1,32,77,1,17,12,3
3,3,11,28,12,1,0,7,15,0,0,1,5
18,24,11,20,17,11,3,19,34,0,0,0,3
10,25,12,14,17,31,3,9,20,0,1,1,3
15,27,21,15,18,1,2,28,13,1,0,1,4
11,18,6,6,17,4,0,30,14,1,1,1,4
18,24,11,20,17,11,3,19,34,1,1,1,3
9,10,0,20,15,11,1,16,38,0,0,1,4
9,24,3,11,11,11,1,8,26,0,0,0,3
8,38,4,23,13,7,1,11,67,1,1,1,3
5,24,16,38,16,11,1,54,49,0,3,6,4
9,22,1,22,17,12,1,11,19,0,0,1,4
35,96,35,22,38,43,2,27,62,4,8,1,1
5,24,1,4,3,19,2,6,57,0,0,1,4
17,24,3,16,8,8,0,6,20,0,1,0,3
18,24,11,20,35,11,0,19,34,0,0,0,3
25,24,15,22,28,11,35,88,110,0,0,11,0
24,120,7,18,17,20,1,17,61,0,2,1,0
36,24,24,35,20,11,3,35,68,2,16,28,1
8,26,6,30,0,16,1,7,34,1,1,1,4
2,6,1,6,3,6,0,16,33,0,0,0,5
16,24,7,10,7,11,0,6,22,0,0,1,4
18,24,11,20,12,11,0,19,34,0,0,0,3
20,29,1,15,7,14,0,11,69,0,4,0,3
5,15,2,10,8,6,1,8,39,0,0,1,4
8,13,0,2,1,5,3,27,30,0,0,0,4
11,24,0,11,5,16,0,23,27,0,1,0,3
7,24,6,7,10,11,13,2,16,0,0,0,2
52,24,9,18,14,11,2,15,10,1,4,7,1
44,87,43,43,16,23,1,27,34,3,6,1,1
18,46,11,20,17,11,3,24,7,1,1,1,3
18,24,11,20,17,11,3,19,34,1,1,1,3
28,69,9,3,9,4,5,29,6,0,1,1,2
11,26,3,15,4,4,0,11,14,0,2,2,3
16,24,6,15,17,11,2,9,38,0,2,1,3
15,24,3,9,7,16,1,6,32,0,2,1,3
22,24,9,24,18,11,0,20,14,0,0,0,3
21,24,2,23,11,8,1,11,88,2,3,1,3
34,61,43,10,44,2,3,9,18,5,6,29,1
25,24,6,11,13,41,1,12,36,0,1,1,2
15,49,23,33,34,11,51,52,37,1,17,0,0
8,24,3,9,3,11,1,64,55,0,3,7,3
26,24,15,40,25,11,35,20,14,2,18,10,0
19,43,25,45,47,40,1,18,48,3,7,1,3
6,9,4,7,7,12,1,7,41,0,0,1,3
11,16,4,20,13,13,1,5,46,0,1,1,3
2,13,7,21,14,5,0,9,10,1,3,2,4
16,33,18,16,12,59,0,10,37,99,1,1,4
55,88,79,43,88,49,2,19,37,9,18,1,1
3,8,0,17,7,3,0,19,40,0,0,0,5
4,16,11,8,14,8,1,8,21,0,0,2,4
16,24,5,15,12,11,0,8,26,0,1,1,4
15,55,11,20,0,11,0,7,34,0,1,1,3
12,24,10,12,19,11,1,7,16,0,0,0,3
7,20,10,23,20,15,1,8,18,0,1,1,4
18,10,0,3,0,9,2,19,57,0,1,1,3
8,17,7,9,9,11,0,3,33,0,0,1,4
9,24,1,18,8,9,0,6,44,0,3,2,4
18,24,11,20,17,11,3,19,34,1,1,1,3
7,17,7,25,14,9,1,13,27,2,3,5,4
32,60,9,13,14,11,1,28,30,0,0,1,1
19,41,20,24,34,6,0,5,13,3,1,14,3
8,9,0,43,33,11,0,10,53,0,0,1,4
14,24,7,12,7,85,1,8,22,0,0,1,3
10,27,15,37,28,11,34,83,25,1,17,0,0
11,15,2,7,7,7,3,16,13,1,1,1,3
18,40,5,7,17,4,0,19,27,1,1,1,3
17,24,3,5,3,11,2,6,60,0,0,1,2
30,38,8,47,24,13,1,14,49,2,12,7,3
6,24,1,7,2,11,3,12,38,1,0,1,3
18,37,4,5,17,4,0,42,3,1,1,1,3
8,12,10,28,17,21,0,5,22,1,1,1,3
10,24,13,1,11,4,2,11,6,1,1,1,3
17,45,8,11,12,11,0,3,37,0,0,1,3
60,24,17,18,15,73,1,33,45,0,0,1,0
11,24,18,16,27,11,2,8,9,0,0,0,3
47,67,45,63,84,12,0,18,28,6,10,1,1
18,24,11,20,17,11,3,19,34,1,1,1,3
18,24,11,20,17,11,3,19,34,1,1,1,3
20,50,19,26,31,24,2,25,41,1,5,1,3
11,24,2,8,2,11,3,17,27,0,0,1,3
9,19,12,17,16,27,1,12,30,0,13,0,3
13,24,5,47,11,11,13,75,46,2,18,10,2
18,31,13,10,15,11,0,16,26,1,3,1,4
17,34,2,23,11,9,0,8,30,1,14,0,3
13,24,4,11,7,19,1,7,36,0,1,1,4
24,31,9,9,20,17,0,17,18,0,1,1,2
37,24,32,65,17,11,3,12,48,1,1,1,1
12,15,14,6,17,6,1,29,42,1,1,1,3
16,58,3,10,17,37,0,3,17,1,0,0,3
6,18,12,26,19,4,1,13,4,2,6,6,4
7,18,6,14,17,18,0,7,26,1,1,1,4
3,6,0,2,1,0,1,2,25,1,1,1,4
46,93,23,31,43,11,3,76,28,0,0,1,1
18,24,11,20,17,11,0,19,34,1,1,1,3
9,24,3,24,11,11,8,18,34,0,0,0,3
9,18,3,21,10,19,1,5,37,0,0,1,4
39,66,17,16,21,11,1,17,42,1,3,1,2
41,60,18,37,29,32,2,19,32,2,16,5,1
29,53,13,21,27,7,6,19,14,0,1,1,2
5,23,6,21,0,17,0,6,40,0,1,1,4
50,24,3,17,17,11,0,12,56,0,1,1,1
16,37,28,35,28,11,62,75,63,0,19,0,0
18,24,11,20,17,11,0,19,34,1,1,1,3
7,14,17,14,21,20,0,7,26,7,5,4,4
66,112,144,67,44,48,2,29,47,5,10,1,1
17,24,4,7,3,11,2,45,72,0,8,7,3
18,24,11,20,17,11,0,19,34,1,1,1,3
25,51,36,45,58,32,1,7,57,4,12,1,2
17,27,6,30,23,11,1,9,47,0,10,1,3
12,24,4,10,6,10,1,7,37,0,0,1,4
27,24,30,19,40,11,1,6,7,0,0,0,3
9,14,29,21,31,0,1,5,25,0,3,3,4
18,91,4,5,17,4,0,19,16,1,1,1,1
24,53,5,6,17,4,3,49,64,1,1,1,2
17,24,3,20,12,11,4,18,15,0,0,0,3
13,30,6,23,5,10,0,8,56,0,0,0,3
18,24,11,20,17,11,3,19,34,1,1,1,3
13,29,20,37,33,11,45,52,30,1,17,0,0
6,24,22,58,36,11,50,83,34,2,8,0,0
18,24,11,20,12,11,0,19,34,0,0,0,3
15,45,35,40,60,11,3,42,66,1,1,1,3
14,18,3,13,13,61,1,12,32,0,0,1,4
18,24,11,20,17,11,3,19,34,0,0,0,3
18,24,11,20,17,11,3,19,34,0,0,0,3
21,32,8,16,16,11,2,10,15,1,3,1,2
24,24,5,13,14,14,1,9,13,0,0,1,3
22,49,22,38,35,26,2,17,47,0,2,0,2
19,15,8,5,11,3,1,8,43,0,1,8,3
6,11,1,5,2,2,0,18,28,0,1,1,4
7,32,22,10,19,15,3,59,19,0,0,1,3
9,31,9,21,20,9,1,9,29,0,0,1,4
12,20,4,16,9,5,0,20,38,0,1,1,4
6,11,2,23,20,2,1,19,41,3,1,1,4
15,28,5,6,17,4,0,11,21,1,1,1,4
12,20,11,0,17,0,1,12,9,1,1,1,4
18,30,31,13,26,0,2,27,13,1,0,1,3
9,17,2,13,7,7,0,6,92,1,3,2,3
5,11,1,5,3,2,1,8,35,1,1,1,5
2,5,15,9,7,17,0,22,22,0,0,0,5
10,29,4,17,15,20,1,10,97,0,1,1,3
13,15,1,0,2,21,0,10,8,0,0,1,4
6,14,0,4,6,2,1,3,46,1,1,1,4
14,24,31,38,21,11,70,59,40,2,18,10,0
18,30,12,20,25,17,1,8,28,2,1,1,3
56,24,19,23,34,11,2,2,9,0,0,1,1
60,24,6,18,14,39,1,20,29,0,0,1,1
2,6,1,15,7,2,0,25,32,0,0,0,5
5,16,4,19,0,17,0,6,19,0,0,1,5
4,17,38,16,44,11,2,26,34,0,1,1,3
11,43,25,1,23,6,2,44,2,0,1,1,3
3,11,1,8,4,31,0,11,32,0,0,0,4
12,40,2,5,3,2,0,12,19,1,2,7,3
18,15,5,5,17,4,2,7,42,1,1,1,3
55,24,9,15,13,11,3,14,18,0,0,1,1
8,23,0,26,11,7,0,17,21,2,7,5,4
15,27,16,12,16,19,1,11,10,3,0,4,3
37,62,32,37,40,27,2,14,33,2,15,0,2
9,29,10,29,19,6,1,36,10,2,4,2,4
5,13,6,23,13,6,0,9,32,1,2,1,5
18,49,12,27,38,30,1,9,52,0,1,1,2
15,34,3,36,16,12,1,8,32,1,9,3,3
7,21,1,8,4,13,0,14,81,1,1,1,3
7,14,5,16,14,7,1,6,44,0,0,1,4
18,24,11,20,54,11,3,19,34,1,0,1,3
18,24,11,20,17,11,0,19,34,0,0,0,3
31,24,4,7,9,11,2,5,17,0,0,0,2
9,24,4,20,9,11,0,15,13,2,0,1,4
47,66,16,32,37,34,2,14,80,1,2,1,1
20,24,6,23,17,11,2,6,70,0,2,1,3
18,24,11,20,17,11,0,19,34,0,0,0,3
17,47,35,42,62,11,3,19,65,1,1,1,3
12,24,6,11,13,69,1,14,25,0,0,1,3
11,16,1,8,4,7,1,18,26,0,1,1,4
12,26,5,20,16,22,1,10,45,0,4,1,3
36,66,8,33,21,11,3,2,50,1,3,1,2
31,62,17,51,46,34,1,8,97,3,13,1,2
18,24,11,20,14,11,0,19,34,0,0,0,3
8,9,7,13,11,11,1,3,16,0,0,1,4
10,27,11,7,14,8,0,21,29,0,1,2,3
10,18,5,17,10,8,0,8,26,0,0,0,4
29,63,28,39,44,31,2,26,51,1,4,0,2
18,24,11,20,17,11,0,19,34,1,1,1,3
18,38,14,15,24,4,0,19,8,3,1,10,3
16,20,0,1,0,1,0,9,29,0,0,1,3
63,24,3,17,0,11,1,15,21,0,1,1,1
2,10,50,9,24,2,0,4,21,1,4,0,4
8,15,3,10,9,2,0,4,43,3,2,4,4
22,26,24,20,28,7,2,18,22,1,8,3,3
13,24,6,9,8,53,1,4,21,3,4,1,3
21,34,12,38,17,61,0,10,1,0,0,1,3
2,6,0,2,1,0,0,2,27,1,1,1,5
2,6,4,19,18,10,1,1,8,0,5,1,4
18,24,11,20,17,11,0,19,34,1,1,1,3
11,24,3,18,16,8,1,8,45,0,0,1,4
15,53,5,28,22,28,1,10,50,0,5,1,3
4,15,16,26,22,2,1,30,30,1,4,3,4
5,29,14,9,19,11,2,29,22,0,1,1,3
2,5,5,17,11,1,0,21,22,0,0,0,4
18,24,11,20,17,11,3,19,34,1,1,1,3
10,24,5,5,9,11,1,10,22,1,1,1,3
6,16,0,14,6,3,0,21,74,0,0,0,4
32,24,33,96,33,11,74,103,57,2,11,10,0
20,24,2,7,2,11,2,12,30,0,0,1,3
15,31,7,20,13,10,1,13,21,0,1,0,3
30,50,9,79,39,5,1,12,19,0,0,0,2
6,17,8,29,17,25,0,10,9,2,6,5,4
29,58,37,22,48,8,2,10,29,3,5,30,2
13,24,3,3,2,11,1,57,101,0,3,7,3
15,22,7,12,19,10,0,22,46,0,1,1,3
8,24,3,7,9,46,1,12,36,0,0,1,4
18,24,11,20,14,11,0,19,34,0,0,0,3
38,24,10,8,3,11,7,10,53,0,0,1,2
8,20,2,19,8,8,1,10,12,1,6,1,4
1,6,3,14,14,6,1,1,10,1,5,1,4
5,16,9,17,18,10,1,8,18,0,0,1,4
11,24,5,16,9,11,1,9,25,0,3,1,4
18,24,11,20,17,11,3,19,34,1,1,1,3
17,46,11,7,12,10,0,18,23,3,1,17,3
18,10,4,6,17,11,0,15,34,1,1,1,3
20,39,7,8,8,18,1,8,6,3,0,0,3
105,149,109,67,116,76,4,34,184,5,18,1,0
18,24,11,20,17,11,3,19,34,1,1,1,3
38,79,27,62,59,26,9,35,88,3,12,6,1
18,24,11,20,17,11,3,19,34,1,1,1,3
8,18,3,17,13,19,1,15,72,0,15,1,4
3,8,2,6,7,8,0,8,28,0,6,0,5
2,12,1,9,4,7,0,9,14,1,3,1,5
15,26,5,6,17,4,3,6,7,1,1,1,3
13,24,6,16,10,191,0,20,25,1,1,1,4
18,24,11,20,0,0,0,19,34,0,0,0,3
18,24,11,20,17,11,3,19,34,1,1,1,3
3,6,1,6,3,3,0,20,29,0,0,0,5
32,58,35,22,34,11,3,12,43,1,3,1,2
12,37,9,65,33,11,20,172,55,8,46,17,1
7,24,0,8,2,11,3,9,48,0,0,1,3
5,24,14,21,17,54,2,2,18,1,1,1,4
18,31,4,4,17,4,0,51,43,1,1,1,3
24,47,17,14,23,41,1,9,24,55,1,1,3
14,24,3,6,2,11,1,72,140,0,3,6,3
7,18,8,21,14,17,1,16,37,0,0,0,3
97,24,20,14,13,11,3,33,39,0,3,6,0
47,24,33,46,40,17,1,20,53,2,9,1,1
