MQ135,MQ136,MQ137,MQ138,MQ2,MQ3,MQ4,MQ5,MQ6,MQ8,MQ9,Label
91,24,193,46,51,87,23,160,106,116,163,3
93,24,195,47,53,89,23,160,106,122,149,3
93,24,195,47,52,89,24,164,106,122,161,3
95,24,193,47,52,90,23,163,106,113,156,3
90,24,191,45,50,87,22,161,105,114,163,3
88,23,191,45,50,86,22,158,105,111,149,3
84,23,189,43,48,85,22,159,107,111,143,3
92,24,191,47,52,90,23,165,109,118,160,3
92,25,192,49,53,91,23,162,110,116,156,3
81,25,195,49,53,91,23,163,110,126,158,3
82,25,193,50,54,92,23,162,110,124,161,3
81,25,193,48,53,92,23,163,110,116,161,3
82,25,193,51,55,93,23,164,110,127,160,3
64,22,183,39,45,83,19,155,105,100,134,3
75,24,188,46,51,89,22,164,107,109,144,3
91,24,188,47,52,90,22,163,107,111,146,3
91,24,188,50,53,92,23,164,109,118,155,3
86,23,185,45,50,89,21,165,107,109,146,3
71,24,185,46,49,88,21,164,107,118,156,3
43,18,169,25,34,71,15,148,99,80,110,3
41,17,166,23,33,70,15,145,98,75,103,3
39,17,165,22,32,70,14,139,97,80,113,3
38,17,165,23,31,70,14,142,97,86,107,3
37,17,163,22,30,69,14,142,96,68,101,3
40,17,164,23,33,70,14,143,96,63,103,3
42,18,167,26,34,73,15,149,97,65,114,3
45,19,167,28,36,74,15,144,97,75,117,3
81,26,187,54,55,97,23,165,107,106,167,3
77,25,188,52,54,95,22,164,107,107,143,3
83,25,189,54,57,97,23,165,108,120,150,3
82,26,190,56,55,97,23,175,107,118,152,3
82,26,191,55,56,97,23,167,108,126,149,3
82,26,191,57,56,98,23,169,109,127,161,3
84,26,191,57,56,98,23,171,109,122,163,3
84,26,191,57,57,99,23,172,109,124,172,3
82,26,189,57,55,98,22,169,109,122,147,3
88,27,193,61,58,102,23,174,111,131,167,3
87,27,193,61,59,103,23,172,110,124,161,3
86,27,192,58,58,101,23,172,110,116,156,3
87,26,191,61,59,102,23,177,110,126,175,3
86,26,192,59,59,102,23,175,110,129,174,3
87,27,192,61,60,105,23,177,111,141,164,3
82,26,190,58,58,102,23,175,110,113,155,3
84,26,189,58,58,102,22,175,110,122,166,3
84,26,190,61,60,104,23,175,110,120,167,3
81,26,188,59,59,103,22,174,109,124,156,3
82,26,188,60,59,103,22,176,109,124,167,3
79,26,187,58,58,102,22,176,109,122,164,3
81,26,187,59,58,103,22,177,109,120,163,3
81,26,187,59,59,103,22,177,109,106,164,3
82,27,187,61,60,105,23,175,110,129,170,3
84,27,187,62,60,106,23,178,110,135,170,3
86,27,187,62,60,106,23,179,110,127,179,3
84,27,186,62,61,106,23,179,110,109,175,3
84,27,187,63,60,106,23,179,111,118,177,3
86,27,185,63,59,105,22,180,110,120,166,3
87,27,186,65,60,106,23,183,111,129,169,3
83,27,186,65,60,106,22,184,111,122,164,3
53,21,170,42,43,85,15,163,103,91,123,3
82,27,184,63,59,104,22,187,110,111,149,3
